iter	Passed	Remaining
0	0	89
1	2	98
2	2	87
3	3	77
4	3	75
5	4	73
6	5	72
7	6	72
8	6	70
9	7	68
10	8	68
11	9	67
12	10	68
13	11	67
14	12	71
15	13	69
16	14	70
17	15	71
18	16	71
19	18	74
20	20	76
21	21	74
22	21	72
23	23	72
24	23	71
25	24	70
26	25	68
27	26	67
28	26	65
29	27	64
30	28	64
31	29	62
32	30	61
33	31	60
34	31	58
35	32	57
36	35	60
37	36	59
38	37	58
39	37	56
40	39	56
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	46	45
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	52	36
59	53	35
60	54	34
61	55	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	61	25
71	62	24
72	63	23
73	63	22
74	64	21
75	65	20
76	65	19
77	66	18
78	67	17
79	68	17
80	69	16
81	69	15
82	70	14
83	71	13
84	71	12
85	72	11
86	72	10
87	73	10
88	74	9
89	74	8
90	75	7
91	76	6
92	77	5
93	77	4
94	78	4
95	79	3
96	79	2
97	80	1
98	81	0
99	81	0
